Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
758,1208110,"Jianu, Vlad-Cristian",GM,Romania,2523,,1984,,,Csm Lugoj,168
759,3507165,"Ortiz Suarez, Isan Reynaldo",GM,Cuba,2523,,1985,,,,211
760,4642325,"Prusikin, Michael",GM,Germany,2523,,1978,,,BCA Augsburg,231
761,14101440,"Berelowitsch, Alexander",GM,Germany,2523,,1967,,,Duesseldorfer Schach,194
762,2000091,"Benjamin, Joel",GM,USA,2523,,1964,,,California,92
763,4120965,"Prokopchuk, Evgeny",GM,Russia,2523,,1978,i,,,23
764,8000000038,"Suhle, Berthold",,Unknown,2523,,0,i,,,0
765,1108760,"Cyborowski, Lukasz",GM,Poland,2522,,1980,,,SG Trier,165
766,2200074,"Magem Badals, Jordi",GM,Spain,2522,,1967,,,,89
767,600113,"Hauchard, Arnaud",GM,France,2522,,1971,,,,95
768,25006711,"Chandra, Akshat",GM,USA,2522,,1999,,,New Jersey,173
769,402893,"Turner, Matthew J",GM,Scotland,2522,,1975,,,,68
770,931152,"Bogosavljevic, Boban",GM,Serbia,2522,,1988,,,SV Deggendorf,109
771,2012642,"Serper, Grigory",GM,USA,2522,,1969,i,,,37
772,3409350,"Henriquez Villagra, Cristobal",GM,Chile,2522,,1996,,,,139
773,4194128,"Kiselev, Vitaliy",GM,Russia,2522,,1988,,,,83
774,5702895,"Yeoh, Li Tian",IM,Malaysia,2522,,1999,,,,86
775,4500016,"Ehlvest, Jaan",GM,USA,2521,,1962,,,New York,576
776,1132253,"Sadzikowski, Daniel",GM,Poland,2521,,1994,,,SC Heusenstamm,189
777,705713,"Ruck, Robert",GM,Hungary,2521,,1977,,,SC Eppingen,174
778,866970,"Basso, Pier Luigi",GM,Italy,2521,,1997,,,,155
779,912123,"Nenezic, Marko",IM,Serbia,2521,,1995,,,,82
780,13601784,"Shanava, Konstantine",GM,Georgia,2521,,1985,,,,180
781,13800124,"Magai, Vladimir",IM,Kyrgyzstan,2521,,1968,i,,,3
782,24183555,"Afanasiev, Nikita",FM,Russia,2521,,2000,,,,106
783,2015315,"Stripunsky, Alexander",GM,USA,2520,,1970,,,New Jersey,1000
784,14400057,"Kurajica, Bojan",GM,Croatia,2520,,1947,,,BOSNA,195
785,4122259,"Kosyrev, Vladimir",GM,Russia,2520,,1980,i,,,45
786,14500310,"Zelcic, Robert",GM,Croatia,2520,,1965,,,SK Kirchweyhe 1947,342
787,708003,"Horvath, Adam",GM,Hungary,2520,,1981,,,SG Speyer-Schwegenhe,213
788,1910850,"Ferreira, Jorge Viterbo",GM,Portugal,2520,,1994,,,Gd Dias Ferreira,204
789,100137,"Zarnicki, Pablo",GM,Argentina,2520,,1972,i,,,23
