Number,Id,Name,Title,Fed,Elo,NElo,Born,flag,Games,Club/City,#Trns
983,8604398,"Yang, Kaiqi",IM,Canada,2505,,1988,,,,86
984,14101270,"Komarov, Dimitri",GM,Ukraine,2505,,1968,i,,,102
985,14200880,"Kayumov, Sergey",GM,Uzbekistan,2505,,1981,i,,,117
986,14205483,"Sindarov, Javokhir",IM,Uzbekistan,2505,,2005,,,,51
987,2034255,"Zierk, Steven",GM,USA,2504,,1993,,,Massachusetts,174
988,4663306,"Schneider, Ilja",IM,Germany,2504,,1984,,,Schachfreunde Berlin,314
989,300020,"Smejkal, Jan",GM,Czech Republic,2504,,1946,i,,Sk Holdia Dp Praha,2
990,1005030,"Dambacher, Martijn",GM,Netherlands,2504,,1979,,,DJK Aufwaerts St. Jo,173
991,1613782,"Beim, Valeri",GM,Austria,2504,,1950,,,TV Tegernsee,53
992,113816,"Tristan, Leonardo",IM,Argentina,2504,,1989,,,,131
993,700096,"Adorjan, Andras",GM,Hungary,2504,,1950,i,,,0
994,2000512,"Sherzer, Alex",GM,USA,2504,,1971,i,,Zalaegerszeg,8
995,4147103,"Goryachkina, Aleksandra",GM,Russia,2504,,1998,w,,,138
996,4401824,"Barrientos, Sergio E",GM,Colombia,2504,,1986,,,,221
997,5024366,"Anurag, Mhamal",GM,India,2504,,1995,,,,128
998,14122286,"Triapishko, Alexandr",IM,Russia,2504,,2000,,,,93
999,8000000426,"Moehle, Charles A",,Unknown,2504,,0,i,,,0
1000,14501228,"Rogic, Davor",GM,Croatia,2503,,1971,,,SC Untergrombach 46,159
